año,pais,c.poblacion,pibpc,desempleo,expect.vida,acc.electricidad
2018,Uruguay,0.141387931879728,19026.04961089,8.34,77.611,99.8
2018,Ecuador,1.89090930713133,6321.34940071717,3.53,77.094,98.7
2018,Peru,1.87582164020533,6912.10462268352,3.49,76.009,95.2
2018,Chile,1.79596279901203,15795.7081412484,7.21,80.133,100.0
2018,Argentina,1.01580834908002,11795.1628852236,9.22,76.999,99.9937362670898
2018,Brazil,0.793768153848091,9121.02009249958,12.46,75.109,99.7
2018,Colombia,1.89558675057496,6782.0379203319,9.11,76.748,98.5
2019,Costa Rica,0.865128346659953,12669.3411617396,10.81,79.427,99.71
2019,United States,0.455381285963537,65120.3946628653,3.67,78.7878048780488,100.0
2019,Mexico,0.860265089734684,10145.1526279593,3.48,74.202,99.6
2019,Canada,1.43613682316886,46374.1527517191,5.66,82.2287804878049,100.0
2019,Bolivia,1.45750439141779,3472.38083136442,3.68,67.841,95.08
2019,"Venezuela, RB",-2.90499574537726,15975.7293753361,5.092,72.161,99.8447799682617
2019,Paraguay,1.33657480808218,5807.83881414187,6.59,73.621,99.7
2019,Uruguay,0.0398806735871464,18098.361548609,8.73,77.508,99.9
2019,Ecuador,1.90968326333656,6233.25816692363,3.81,77.297,99.09
2019,Peru,1.90972560807882,6955.88176963678,3.38,76.156,95.551360223182
2019,Chile,1.7913919716665,14627.14501648,7.27,80.326,100.0
2019,Argentina,0.993397493293046,9963.67423069626,9.84,77.284,100.0
2019,Brazil,0.766107802084815,8845.3239312417,12.05,75.338,99.8
2019,Colombia,1.83074694246543,6436.50921529531,9.96,76.752,99.4442596435547
